tick,id,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,contacts
30,0,-0.645000,1.300000,-0.645000,1.187155,6.256901,0.033034,0.000000,0.000000,0.000000,1.000000,8.369839,-2.795107,-7.869823,0
30,1,-0.215000,1.300000,-0.645000,-2.630188,6.725643,-2.468706,0.000000,0.000000,0.000000,1.000000,-10.918831,5.256069,10.365522,0
30,2,0.215000,1.300000,-0.645000,2.600608,4.649211,-2.860083,0.000000,0.000000,0.000000,1.000000,-4.522375,2.309593,8.144810,0
30,3,0.645000,1.300000,-0.645000,-1.283128,5.413154,3.498299,0.000000,0.000000,0.000000,1.000000,6.178280,8.664402,-10.538301,0
30,4,-0.645000,1.300000,-0.215000,-0.592331,6.421574,-1.276710,0.000000,0.000000,0.000000,1.000000,1.499372,3.855701,7.033077,0
30,5,-0.215000,1.300000,-0.215000,2.659774,6.575782,-0.002429,0.000000,0.000000,0.000000,1.000000,6.401474,-1.015594,-4.264851,0
30,6,0.215000,1.300000,-0.215000,-1.253873,7.131243,-0.071244,0.000000,0.000000,0.000000,1.000000,9.856995,9.919827,2.576892,0
30,7,0.645000,1.300000,-0.215000,-2.650891,7.226196,-0.979295,0.000000,0.000000,0.000000,1.000000,10.050217,-2.301865,-9.361484,0
30,8,-0.645000,1.300000,0.215000,2.998336,6.638200,1.243558,0.000000,0.000000,0.000000,1.000000,0.099041,-10.209073,11.546093,0
30,9,-0.215000,1.300000,0.215000,-1.468698,6.490713,2.178019,0.000000,0.000000,0.000000,1.000000,-9.987518,-9.160492,-7.817043,0
30,10,0.215000,1.300000,0.215000,-2.667269,5.591056,2.584599,0.000000,0.000000,0.000000,1.000000,-10.168216,10.782448,-11.069304,0
30,11,0.645000,1.300000,0.215000,-3.287345,4.549528,-0.644403,0.000000,0.000000,0.000000,1.000000,-11.356563,11.219345,-10.432324,0
30,12,-0.645000,1.300000,0.645000,0.227032,5.898791,1.853778,0.000000,0.000000,0.000000,1.000000,-4.795729,2.753222,1.810780,0
30,13,-0.215000,1.300000,0.645000,-2.753505,5.864184,3.497546,0.000000,0.000000,0.000000,1.000000,4.930517,-11.197182,-1.628452,0
30,14,0.215000,1.300000,0.645000,3.345119,5.643244,2.972501,0.000000,0.000000,0.000000,1.000000,-2.622409,2.217577,8.094662,0
30,15,0.645000,1.300000,0.645000,-2.481654,5.220448,2.802612,0.000000,0.000000,0.000000,1.000000,-9.016651,1.304564,6.106861,0
30,16,-0.645000,1.730000,-0.645000,2.184594,4.642307,2.128160,0.000000,0.000000,0.000000,1.000000,7.099159,-7.572738,-8.487773,0
30,17,-0.215000,1.730000,-0.645000,1.201951,5.678319,3.282561,0.000000,0.000000,0.000000,1.000000,-8.995916,-10.209758,-10.411338,0
30,18,0.215000,1.730000,-0.645000,-3.010073,6.299534,2.327368,0.000000,0.000000,0.000000,1.000000,0.437307,9.782106,4.726671,0
30,19,0.645000,1.730000,-0.645000,0.514475,5.431008,0.030884,0.000000,0.000000,0.000000,1.000000,-4.155622,-5.205864,5.763239,0
30,20,-0.645000,1.730000,-0.215000,-3.147786,5.977023,3.270250,0.000000,0.000000,0.000000,1.000000,-6.380109,8.371983,-3.267036,0
30,21,-0.215000,1.730000,-0.215000,3.455514,5.207016,-1.738219,0.000000,0.000000,0.000000,1.000000,0.478114,-3.274208,8.095932,0
30,22,0.215000,1.730000,-0.215000,-1.100232,5.523935,3.100601,0.000000,0.000000,0.000000,1.000000,3.969902,0.344241,7.517097,0
30,23,0.645000,1.730000,-0.215000,-1.582215,6.510760,-0.477992,0.000000,0.000000,0.000000,1.000000,-4.112613,10.699461,-8.906337,0
30,24,-0.645000,1.730000,0.215000,-3.078021,5.531134,0.164213,0.000000,0.000000,0.000000,1.000000,4.548199,-3.645592,5.319927,0
30,25,-0.215000,1.730000,0.215000,-2.474017,7.277789,-0.616480,0.000000,0.000000,0.000000,1.000000,-5.097584,-6.246436,5.578413,0
30,26,0.215000,1.730000,0.215000,2.694726,7.290279,-1.077461,0.000000,0.000000,0.000000,1.000000,-6.954624,-4.195488,1.975212,0
30,27,0.645000,1.730000,0.215000,-0.531920,6.300864,0.416575,0.000000,0.000000,0.000000,1.000000,-9.448729,3.707880,5.169405,0
30,28,-0.645000,1.730000,0.645000,3.244195,7.483765,0.444297,0.000000,0.000000,0.000000,1.000000,0.005364,10.021484,0.723320,0
30,29,-0.215000,1.730000,0.645000,-2.111977,5.940820,-2.643788,0.000000,0.000000,0.000000,1.000000,-11.789714,-1.413615,-3.483328,0
30,30,0.215000,1.730000,0.645000,0.021798,7.025317,-2.717431,0.000000,0.000000,0.000000,1.000000,11.475615,2.810537,3.712238,0
30,31,0.645000,1.730000,0.645000,-1.872342,5.163367,2.536806,0.000000,0.000000,0.000000,1.000000,-3.166243,10.565041,-6.939465,0
31,0,-0.625287,1.401177,-0.644451,1.182802,6.070626,0.032912,0.069312,-0.023147,-0.065171,0.995195,8.330779,-2.782063,-7.833097,0
31,1,-0.258676,1.408961,-0.685994,-2.620544,6.537649,-2.459654,-0.090302,0.043469,0.085726,0.991265,-10.867876,5.231541,10.317150,0
31,2,0.258185,1.374480,-0.692493,2.591073,4.468831,-2.849596,-0.037471,0.019137,0.067485,0.996833,-4.501270,2.298815,8.106800,0
31,3,0.623693,1.387166,-0.586909,-1.278424,5.229972,3.485472,0.051114,0.071682,-0.087185,0.992294,6.149448,8.623968,-10.489122,0
31,4,-0.654836,1.403912,-0.236200,-0.590159,6.234695,-1.272028,0.012427,0.031956,0.058291,0.997711,1.492375,3.837708,7.000256,0
31,5,-0.170833,1.406472,-0.215040,2.650022,6.388338,-0.002420,0.053060,-0.008418,-0.035350,0.997930,6.371600,-1.010855,-4.244948,0
31,6,0.194179,1.415696,-0.216183,-1.249275,6.941761,-0.070983,0.081569,0.082089,0.021324,0.993052,9.810995,9.873534,2.564866,0
31,7,0.600980,1.417273,-0.231262,-2.641171,7.036367,-0.975705,0.083176,-0.019050,-0.077476,0.993336,10.003316,-2.291122,-9.317797,0
31,8,-0.595211,1.407509,0.235650,2.987343,6.450527,1.238999,0.000819,-0.084448,0.095508,0.991840,0.098579,-10.161430,11.492211,0
31,9,-0.239389,1.405060,0.251167,-1.463312,6.303581,2.170033,-0.082609,-0.075768,-0.064656,0.991592,-9.940909,-9.117743,-7.780564,0
31,10,0.170709,1.390120,0.257919,-2.657489,5.407222,2.575123,-0.084009,0.089084,-0.091454,0.988252,-10.120764,10.732129,-11.017648,0
31,11,0.590412,1.372825,0.204299,-3.275292,4.369513,-0.642040,-0.093804,0.092671,-0.086170,0.987516,-11.303565,11.166988,-10.383640,0
31,12,-0.641230,1.395230,0.675783,0.226199,5.713829,1.846981,-0.039762,0.022828,0.015014,0.998836,-4.773348,2.740374,1.802329,0
31,13,-0.260724,1.394656,0.703079,-2.743409,5.679349,3.484722,0.040825,-0.092712,-0.013484,0.994764,4.907508,-11.144928,-1.620853,0
31,14,0.270548,1.390987,0.694360,3.332853,5.459219,2.961602,-0.021732,0.018377,0.067081,0.997342,-2.610171,2.207228,8.056887,0
31,15,0.603791,1.383966,0.691539,-2.472555,5.037973,2.792336,-0.074685,0.010806,0.050583,0.995865,-8.974573,1.298476,6.078362,0
31,16,-0.608724,1.804366,-0.609661,2.176584,4.461952,2.120357,0.058762,-0.062682,-0.070256,0.993822,7.066030,-7.537398,-8.448163,0
31,17,-0.195041,1.821569,-0.590491,1.197543,5.494165,3.270525,-0.074365,-0.084400,-0.086066,0.989919,-8.953936,-10.162112,-10.362751,0
31,18,0.165016,1.831885,-0.606353,-2.999036,6.113102,2.318834,0.003622,0.081027,0.039152,0.995936,0.435267,9.736456,4.704613,0
31,19,0.653543,1.817463,-0.644487,0.512589,5.247761,0.030771,-0.034438,-0.043141,0.047760,0.997332,-4.136230,-5.181571,5.736344,0
31,20,-0.697271,1.826530,-0.160696,-3.136245,5.791774,3.258260,-0.052846,0.069344,-0.027061,0.995825,-6.350335,8.332913,-3.251790,0
31,21,-0.157619,1.813743,-0.243864,3.442844,5.024590,-1.731846,0.003962,-0.027134,0.067092,0.997370,0.475883,-3.258928,8.058151,0
31,22,0.196730,1.819006,-0.163513,-1.096197,5.340348,3.089232,0.032901,0.002853,0.062298,0.997511,3.951376,0.342635,7.482018,0
31,23,0.618726,1.835393,-0.222937,-1.576413,6.323555,-0.476240,-0.034029,0.088532,-0.073695,0.992760,-4.093421,10.649530,-8.864774,0
31,24,-0.696112,1.819125,0.217727,-3.066735,5.347519,0.163611,0.037698,-0.030217,0.044094,0.997859,4.526974,-3.628579,5.295101,0
31,25,-0.256082,1.848130,0.204763,-2.464946,7.087770,-0.614219,-0.042235,-0.051754,0.046219,0.996695,-5.073795,-6.217286,5.552380,0
31,26,0.259747,1.848337,0.197108,2.684845,7.100214,-1.073511,-0.057639,-0.034771,0.016370,0.997598,-6.922169,-4.175910,1.965994,0
31,27,0.636167,1.831907,0.221917,-0.529969,6.114428,0.415048,-0.078255,0.030709,0.042814,0.995540,-9.404634,3.690577,5.145281,0
31,28,-0.591128,1.851550,0.652378,3.232300,7.292991,0.442668,0.000044,0.083026,0.005993,0.996529,0.005339,9.974717,0.719944,0
31,29,-0.250071,1.825928,0.601098,-2.104233,5.755704,-2.634094,-0.097618,-0.011705,-0.028842,0.994737,-11.734695,-1.407018,-3.467072,0
31,30,0.215362,1.843937,0.599876,0.021718,6.836224,-2.707467,0.095017,0.023271,0.030737,0.994729,11.422062,2.797421,3.694915,0
31,31,0.613909,1.813018,0.687125,-1.865477,4.981101,2.527504,-0.026211,0.087461,-0.057447,0.994165,-3.151467,10.515737,-6.907080,0
32,0,-0.605646,1.499261,-0.643905,1.178465,5.885034,0.032792,0.137640,-0.045965,-0.129417,0.980915,8.291902,-2.769080,-7.796542,0
32,1,-0.302191,1.514800,-0.726838,-2.610935,6.350345,-2.450636,-0.178618,0.085983,0.169567,0.965375,-10.817159,5.207127,10.269003,0
32,2,0.301211,1.445966,-0.739812,2.581572,4.289112,-2.839147,-0.074532,0.038064,0.134232,0.987410,-4.480264,2.288087,8.068968,0
32,3,0.602464,1.471290,-0.529031,-1.273736,5.047462,3.472692,0.101208,0.141934,-0.172630,0.969438,6.120750,8.583723,-10.440173,0
32,4,-0.664636,1.504720,-0.257323,-0.587995,6.048501,-1.267364,0.024740,0.063619,0.116045,0.990896,1.485411,3.819799,6.967588,0
32,5,-0.126828,1.509832,-0.215080,2.640305,6.201581,-0.002411,0.105655,-0.016762,-0.070390,0.991767,6.341866,-1.006138,-4.225139,0
32,6,0.173434,1.528246,-0.217362,-1.244695,6.752975,-0.070723,0.161633,0.162664,0.042255,0.972435,9.765210,9.827457,2.552897,0
32,7,0.557122,1.531393,-0.247464,-2.631487,6.847234,-0.972127,0.164864,-0.037760,-0.153566,0.973556,9.956634,-2.280431,-9.274314,0
32,8,-0.545604,1.511901,0.256224,2.976389,6.263542,1.234456,0.001621,-0.167136,0.189024,0.967643,0.098119,-10.114010,11.438581,0
32,9,-0.263688,1.507012,0.287202,-1.457947,6.117135,2.162076,-0.163454,-0.149919,-0.127933,0.966664,-9.894518,-9.075192,-7.744255,0
32,10,0.126579,1.477188,0.300680,-2.647745,5.224062,2.565681,-0.165669,0.175677,-0.180351,0.953501,-10.073533,10.682046,-10.966232,0
32,11,0.536024,1.442661,0.193638,-3.263282,4.190158,-0.639686,-0.184848,0.182615,-0.169805,0.950605,-11.250814,11.114876,-10.335183,0
32,12,-0.637474,1.487390,0.706453,0.225370,5.529545,1.840209,-0.079248,0.045496,0.029922,0.995367,-4.751072,2.727586,1.793918,0
32,13,-0.306279,1.486242,0.760944,-2.733350,5.495192,3.471945,0.081035,-0.184029,-0.026764,0.979209,4.884606,-11.092918,-1.613289,0
32,14,0.325891,1.478918,0.743539,3.320633,5.275868,2.950743,-0.043248,0.036572,0.133496,0.989430,-2.597990,2.196928,8.019288,0
32,15,0.562733,1.464902,0.737907,-2.463489,4.856168,2.782098,-0.148409,0.021472,0.100516,0.983570,-8.932692,1.292416,6.049997,0
32,16,-0.572580,1.875737,-0.574451,2.168603,4.282259,2.112582,0.116530,-0.124304,-0.139324,0.975478,7.033055,-7.502223,-8.408738,0
32,17,-0.175155,1.910081,-0.536182,1.193152,5.310687,3.258533,-0.146897,-0.166718,-0.170010,0.960064,-8.912150,-10.114689,-10.314391,0
32,18,0.115215,1.930674,-0.567847,-2.988040,5.927354,2.310332,0.007199,0.161023,0.077806,0.983853,0.433235,9.691019,4.682658,0
32,19,0.662055,1.901882,-0.643976,0.510709,5.065186,0.030658,-0.068533,-0.085853,0.095045,0.989393,-4.116927,-5.157390,5.709574,0
32,20,-0.749350,1.919983,-0.106590,-3.124745,5.607204,3.246313,-0.105007,0.137791,-0.053771,0.983410,-6.320700,8.294026,-3.236615,0
32,21,-0.100449,1.894457,-0.272622,3.430221,4.842833,-1.725496,0.007885,-0.054000,0.133522,0.989542,0.473662,-3.243720,8.020546,0
32,22,0.178527,1.904963,-0.112214,-1.092178,5.157433,3.077905,0.065486,0.005678,0.123999,0.990103,3.932936,0.341036,7.447101,0
32,23,0.592549,1.937677,-0.230846,-1.570633,6.137035,-0.474493,-0.067412,0.175380,-0.145988,0.971280,-4.074318,10.599833,-8.823404,0
32,24,-0.747037,1.905202,0.220444,-3.055490,5.164578,0.163011,0.075060,-0.060164,0.087796,0.991483,4.505848,-3.611645,5.270390,0
32,25,-0.297014,1.963104,0.194564,-2.455908,6.898449,-0.611967,-0.083996,-0.102927,0.091919,0.986865,-5.050117,-6.188272,5.526469,0
32,26,0.304331,1.963518,0.179282,2.675001,6.910847,-1.069575,-0.114733,-0.069215,0.032586,0.990446,-6.889865,-4.156422,1.956820,0
32,27,0.627367,1.930718,0.228810,-0.528026,5.928675,0.413526,-0.155454,0.061003,0.085049,0.982283,-9.360746,3.673354,5.121269,0
32,28,-0.537454,1.969932,0.659729,3.220448,7.102917,0.441045,0.000088,0.165094,0.011916,0.986206,0.005314,9.928168,0.716585,0
32,29,-0.285013,1.918783,0.557358,-2.096518,5.571267,-2.624436,-0.193761,-0.023232,-0.057248,0.979101,-11.679934,-1.400452,-3.450892,0
32,30,0.215723,1.954734,0.554917,0.021639,6.647825,-2.697540,0.188597,0.046190,0.061009,0.979069,11.368759,2.784367,3.677672,0
32,31,0.582931,1.893010,0.729096,-1.858637,4.799504,2.518237,-0.051997,0.173501,-0.113961,0.976835,-3.136760,10.466663,-6.874847,0
33,0,-0.586076,1.594263,-0.643360,1.174144,5.700122,0.032672,0.204349,-0.068242,-0.192141,0.957427,8.253206,-2.756157,-7.760158,0
33,1,-0.345547,1.617529,-0.767532,-2.601362,6.163727,-2.441650,-0.263455,0.126821,0.250104,0.923015,-10.766679,5.182827,10.221081,0
33,2,0.344079,1.514467,-0.786958,2.572107,4.110052,-2.828737,-0.110955,0.056665,0.199831,0.971877,-4.459356,2.277409,8.031313,0
33,3,0.581313,1.552384,-0.471365,-1.269066,4.865622,3.459959,0.149535,0.209707,-0.255062,0.931990,6.092187,8.543666,-10.391452,0
33,4,-0.674400,1.602436,-0.278369,-0.585839,5.862990,-1.262717,0.036883,0.094847,0.173008,0.979649,1.478479,3.801973,6.935072,0
33,5,-0.082984,1.610090,-0.215121,2.630624,6.015508,-0.002402,0.157574,-0.024999,-0.104980,0.981593,6.312271,-1.001442,-4.205421,0
33,6,0.152765,1.637660,-0.218536,-1.240131,6.564881,-0.070463,0.239116,0.240641,0.062512,0.938620,9.719639,9.781596,2.540983,0
33,7,0.513425,1.642373,-0.263607,-2.621838,6.658794,-0.968563,0.244011,-0.055887,-0.227289,0.941103,9.910169,-2.269789,-9.231033,0
33,8,-0.496180,1.613189,0.276723,2.965476,6.077242,1.229930,0.002394,-0.246756,0.279072,0.928022,0.097661,-10.066811,11.385201,0
33,9,-0.287898,1.605868,0.323104,-1.452601,5.931372,2.154149,-0.241221,-0.221246,-0.188799,0.925860,-9.848343,-9.032842,-7.708115,0
33,10,0.082612,1.561214,0.343285,-2.638037,5.041574,2.556273,-0.243122,0.257808,-0.264667,0.896871,-10.026523,10.632196,-10.915056,0
33,11,0.481835,1.509519,0.183016,-3.251317,4.011461,-0.637341,-0.270930,0.267657,-0.248881,0.890514,-11.198311,11.063006,-10.286952,0
33,12,-0.633731,1.576488,0.737011,0.224544,5.345937,1.833462,-0.118367,0.067954,0.044693,0.989633,-4.728900,2.714857,1.785547,0
33,13,-0.351668,1.574771,0.818598,-2.723328,5.311709,3.459214,0.120223,-0.273026,-0.039707,0.953639,4.861811,-11.041151,-1.605760,0
33,14,0.381032,1.563805,0.792538,3.308457,5.093190,2.939924,-0.064438,0.054490,0.198903,0.976379,-2.585866,2.186675,7.981864,0
33,15,0.521825,1.542819,0.784106,-2.454457,4.675028,2.771897,-0.220583,0.031915,0.149398,0.963330,-8.891006,1.286385,6.021763,0
33,16,-0.536569,1.944124,-0.539370,2.160651,4.103224,2.104836,0.172614,-0.184128,-0.206377,0.945362,7.000234,-7.467213,-8.369497,0
33,17,-0.155342,1.995546,-0.482073,1.188778,5.127881,3.246585,-0.216178,-0.245348,-0.250192,0.911304,-8.870561,-10.067487,-10.266257,0
33,18,0.065597,2.026379,-0.529483,-2.977084,5.742288,2.301861,0.010701,0.239360,0.115657,0.963958,0.431214,9.645794,4.660806,0
33,19,0.670536,1.983270,-0.643467,0.508836,4.883280,0.030546,-0.102109,-0.127915,0.141611,0.976298,-4.097715,-5.133322,5.682930,0
33,20,-0.801238,2.010371,-0.052684,-3.113288,5.423311,3.234410,-0.156064,0.204787,-0.079915,0.962975,-6.291203,8.255321,-3.221511,0
33,21,-0.043488,1.972153,-0.301275,3.417643,4.661743,-1.719169,0.011749,-0.080461,0.198951,0.976630,0.471452,-3.228582,7.983117,0
33,22,0.160391,1.987883,-0.061104,-1.088174,4.975189,3.066619,0.097598,0.008463,0.184804,0.977881,3.914582,0.339444,7.412348,0
